Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.L5.A88V	0.0597335905110592	0	0.0100433895461367	0	0	0.347632984614741	0	0.0497953867206368	0.0324084663589726	0	0.0563034268592912	0	0.0363639910577267	0.0684415127219845	0	0.146973749212128	0	0.0730801455552445	0	0.119223356842078	0	0	9999	-0.00555989744313155	1.09012860628636
TCGA.L5.A88W	0.0245145270562843	0	0.0151917370816811	0	0	0.250725241027325	0	0.0356988866441077	0.00322508454932049	0	0.0132899251122915	0.0157918621433762	0.0103189307404815	0.0828930464689867	0	0.152365060057006	0.00833199767206908	0.0511229908125324	0	0.296049877367721	0.00231168072356333	0.0381691525432543	9999	0.0534191643707323	1.08720579758097
TCGA.L5.A88Z	0	0	0.0108680197934259	0	0.0153777049773409	0.220990093711871	0	0.128637900569434	0.00535319783386073	0	0.0271645576908097	0.00190188590825002	0.0223412350426674	0.337994535463335	0	0.0999171121272268	0	0.00676256048803046	0	0.110062501470315	0	0.0126286949234333	9999	0.0835403367346261	1.08901518985349
TCGA.L5.A891	0.0739627769091964	0	4.85281543557444e-05	0.00621474414677995	0	0.0931007435948211	0	0.0474132542581906	0.0478200892399498	0	0.0314771427730084	0.000944155937040379	0.046007476672874	0.079499223105945	0	0.0687001663587405	0	0.161039175212621	0	0.285836897628812	0.0403066197749101	0.0176290062327554	9999	0.00581738082505176	1.10247775387287
TCGA.L5.A893	0.196871248758662	0	0	0.0332771682264126	0	0.219666593045951	0	0.0797974224344437	0.0450837513193278	0	0.0845372426318469	0	0.03797467372936	0.00368684497211778	0.0483154954527605	0.0809656126867883	0	0.0216838156523653	0	0.148140131089964	0	0	9999	0.0949376359634092	1.04966175735948
TCGA.L5.A8NE	0.00240143612478572	0	0.116740304422441	0.0227071372585004	0	0.380404824650011	0	0.125098216966393	0.0623692217953887	0	0.0163473712132985	0.0239077311039	0.0121484859383515	0	0.0410390462849363	0.165579280842376	0	0.0215970035886338	0	0	0	0.00965993981098415	9999	0.0331720103704511	1.09372208181852
TCGA.L5.A8NF	0.0289631746925732	0	0.00607288667222321	0	0	0.289449022720711	0	0.0592495956100717	0.0604937170119154	0	0.000453297814346385	0.0190012967898389	0	0.0559460194886268	0.0329212801211489	0.0910724403016248	0	0.0649480437528399	0	0.286233308083648	0	0.00519591694043139	9999	-0.0103179569091261	1.11477348911602
TCGA.L5.A8NG	0.125149239643405	0	0.0657793697069887	0.025989867740937	0	0.200728913329356	0	0.145583539157544	0	0	0.0435189519569285	0	0.047307248290087	0.0645475952324602	0.0484360140621285	0.049309413980299	0	0.0317136747544653	0.1519361721454	0	0	0	9999	0.0607106380149662	1.05385601969289
TCGA.L5.A8NH	0.0621059412021365	0	0.0797008772701423	0	0	0.247684900641724	0	0.0838057145571027	0.0187949793143374	0	0.0579060350524467	0	0.0309667639656652	0	0.0330232794802115	0.0970280144634088	0	0.0169678879138116	0	0.264498402085226	0.00751720405378739	0	9999	0.0236695669185792	1.08412090116015
TCGA.L5.A8NI	0.0435050490821675	0	0	0.0773684544957734	0	0.374693685945501	0	0.107807139468365	0.0293661545562484	0	0.0106460357975383	0.035343352225511	0.0203430333635092	0	0.103776958347538	0.183747175018147	0.00648726322128493	0	0	0.00691569847841611	0	0	9999	0.102066200304145	1.06978664182531
TCGA.L5.A8NJ	0.0409263280588136	0	0.163918251655676	0.0982395856145446	0	0.195192735304477	0	0.0894264268331062	0.116660941133205	0	0.042990966404088	0.00758022148956657	0.0200541317135889	0.00837758224790582	0.0142688037889479	0.121531911484231	0	0.0485604901502792	0	0.0322716241215708	0	0	9999	0.0104341960834912	1.09171631580963
TCGA.L5.A8NK	0	0	0.0205716016674643	0.0293952699459404	0	0.308825124480276	0	0.0320250737712361	0.0813041229899708	0	0.0390625076403333	0	0.01246553030443	0.109435365846683	0.0259028584358779	0.133468239561001	0	0.0209018288547414	0.186642476502046	0	0	0	9999	0.00564979459784916	1.0898559152034
TCGA.L5.A8NL	0.050095976461678	0	0.00333578548478473	0	0	0.200555552872192	0	0.0598373520339418	0.0165135859594663	0	0.0138870370916627	0	0.0308852846727076	0.201293414402116	0	0.222013185032236	0	0.0492569565383584	0	0.152325869450857	0	0	9999	0.135661414408983	1.04722731602981
